Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000      -33126.9629  -33127.0009       0.0379     9.2
0.0020      -33126.9630  -33126.9985       0.0355     8.6
0.0040      -33126.9628  -33126.9942       0.0313     7.6
0.0060      -33126.9628  -33126.9922       0.0294     7.1
0.0080      -33126.9632  -33126.9932       0.0300     7.3
0.0100      -33126.9634  -33126.9939       0.0305     7.4
0.0120      -33126.9633  -33126.9923       0.0290     7.0
0.0140      -33126.9634  -33126.9902       0.0268     6.5
0.0160      -33126.9636  -33126.9893       0.0256     6.2
0.0180      -33126.9638  -33126.9891       0.0253     6.1
0.0200      -33126.9636  -33126.9882       0.0245     5.9
0.0220      -33126.9635  -33126.9871       0.0237     5.7
0.0240      -33126.9634  -33126.9875       0.0240     5.8
0.0260      -33126.9636  -33126.9890       0.0254     6.1
0.0280      -33126.9637  -33126.9899       0.0262     6.3
0.0300      -33126.9636  -33126.9896       0.0260     6.3
0.0320      -33126.9635  -33126.9890       0.0255     6.2
0.0340      -33126.9634  -33126.9894       0.0260     6.3
0.0360      -33126.9634  -33126.9907       0.0273     6.6
0.0380      -33126.9636  -33126.9923       0.0287     6.9
0.0400      -33126.9638  -33126.9938       0.0300     7.3
0.0420      -33126.9639  -33126.9946       0.0307     7.4
0.0440      -33126.9638  -33126.9941       0.0303     7.3
0.0460      -33126.9636  -33126.9931       0.0295     7.1
0.0480      -33126.9637  -33126.9931       0.0294     7.1
0.0500      -33126.9637  -33126.9949       0.0312     7.5
0.0520      -33126.9636  -33126.9968       0.0332     8.0
0.0540      -33126.9636  -33126.9969       0.0333     8.1
0.0560      -33126.9636  -33126.9951       0.0315     7.6
0.0580      -33126.9636  -33126.9933       0.0297     7.2
0.0600      -33126.9637  -33126.9928       0.0291     7.0
0.0620      -33126.9637  -33126.9924       0.0288     7.0
0.0640      -33126.9636  -33126.9913       0.0277     6.7
0.0660      -33126.9638  -33126.9902       0.0264     6.4
0.0680      -33126.9638  -33126.9899       0.0262     6.3
0.0700      -33126.9638  -33126.9902       0.0264     6.4
0.0720      -33126.9638  -33126.9897       0.0259     6.3
0.0740      -33126.9637  -33126.9883       0.0246     5.9
0.0760      -33126.9637  -33126.9874       0.0238     5.7
0.0780      -33126.9637  -33126.9882       0.0245     5.9
0.0800      -33126.9638  -33126.9900       0.0262     6.3
0.0820      -33126.9638  -33126.9912       0.0274     6.6
0.0840      -33126.9637  -33126.9911       0.0274     6.6
0.0860      -33126.9637  -33126.9906       0.0269     6.5
0.0880      -33126.9637  -33126.9903       0.0266     6.4
0.0900      -33126.9637  -33126.9908       0.0271     6.6
0.0920      -33126.9637  -33126.9918       0.0282     6.8
0.0940      -33126.9637  -33126.9930       0.0294     7.1
0.0960      -33126.9637  -33126.9936       0.0299     7.2
0.0980      -33126.9636  -33126.9929       0.0294     7.1
0.1000      -33126.9634  -33126.9916       0.0282     6.8
0.1020      -33126.9632  -33126.9909       0.0277     6.7
0.1040      -33126.9631  -33126.9919       0.0288     7.0
0.1060      -33126.9632  -33126.9938       0.0307     7.4
0.1080      -33126.9632  -33126.9949       0.0317     7.7
0.1100      -33126.9631  -33126.9943       0.0312     7.5
